GB-GOR,UK Government organisation name,Website,Status,CO2 emissions (g),Website carbon link,Date last checked
OT1276,Academy for Social Justice,https://gov.uk/government/organisations/academy-for-social-justice,,0.14,,2021-12-23
OT1137,Accelerated Access Review,https://gov.uk/government/organisations/accelerated-access-review,,0.43,,2021-12-23
PB523,Administration of Radioactive Substances Advisory Committee,https://gov.uk/government/organisations/administration-of-radioactive-substances-advisory-committee,,0.23,,2021-12-23
PB573,Advisory Committee on Animal Feedingstuffs,http://www.food.gov.uk/acaf,,0.25,,2021-12-23
PB336,Advisory Committee on Business Appointments,https://gov.uk/government/organisations/advisory-committee-on-business-appointments,,0.53,,2021-12-23
OT522,Advisory Committee on Clinical Excellence Awards,https://gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards,,0.27,,2021-12-23
PB392,Advisory Committee on Conscientious Objectors,https://gov.uk/government/organisations/advisory-committee-on-conscientious-objectors,,0.13,,2021-12-23
PB574,Advisory Committee on Novel Foods and Processes,http://www.food.gov.uk/acnfp,,0.25,,2021-12-23
PB209,Advisory Committee on Releases to the Environment,https://gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,,0.14,,2021-12-23
PB575,Advisory Committee on the Microbiological Safety of Food,http://www.food.gov.uk/acmsf,,0.25,,2021-12-23
PB437,Advisory Committees on Justices of the Peace,https://www.judiciary.uk/publications/advisory-committees-justices-peace/,,0.30,,2021-12-23
PB271,Advisory Council on the Misuse of Drugs,https://gov.uk/government/organisations/advisory-council-on-the-misuse-of-drugs,,0.38,,2021-12-23
PB393,Advisory Group on Military and Emergency Response Medicine,https://gov.uk/government/organisations/advisory-group-on-military-medicine,,0.13,,2021-12-23
PB28,"Advisory, Conciliation and Arbitration Service",http://www.acas.org.uk/,,0.37,,2021-12-23
PB1072,Agri-Food and Biosciences Institute (Northern Ireland),http://www.afbini.gov.uk/,,0.20,,2021-12-23
OT204,Agriculture and Horticulture Development Board,http://www.ahdb.org.uk/,,2.77,,2021-12-23
OT248,Air Accidents Investigation Branch,https://gov.uk/government/organisations/air-accidents-investigation-branch,,1.63,,2021-12-23
EA1079,Animal and Plant Health Agency,https://gov.uk/government/organisations/animal-and-plant-health-agency,,0.41,,2021-12-23
PB534,Animals in Science Committee,https://gov.uk/government/organisations/animals-in-science-committee,,0.17,,2021-12-23
PC163,Architects Registration Board,http://www.arb.org.uk,,0.91,,2021-12-23
PB1308,Armed Forces Covenant Fund Trust,https://www.covenantfund.org.uk/,,0.50,,2021-12-23
PB394,Armed Forces' Pay Review Body,https://gov.uk/government/organisations/armed-forces-pay-review-body,,0.65,,2021-12-23
PB165,Arts Council England,http://www.artscouncil.org.uk/,,2.74,,2021-12-23
EA740,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/,FAIL,,,
OT731,Arts Council of Wales,https://arts.wales/,,0.86,,2021-12-23
PB123,Arts and Humanities Research Council,http://www.ahrc.ac.uk/,,0.88,,2021-12-23
PB1334,Atomic Weapons Establishment,https://gov.uk/government/organisations/atomic-weapons-establishment,,0.14,,2021-12-23
D1,Attorney General's Office,https://gov.uk/government/organisations/attorney-generals-office,,0.59,,2021-12-23
PC388,BBC,http://www.bbc.co.uk,,2.07,,2021-12-23
PC427,BBC World Service,http://www.bbc.co.uk/worldservice/,,0.83,,2021-12-23
OT1016,Bank of England,http://www.bankofengland.co.uk/,,0.91,,2021-12-23
OT548,Biometrics Commissioner,https://gov.uk/government/organisations/biometrics-commissioner,,0.36,,2021-12-23
PB1222,Biometrics and Forensics Ethics Group,https://gov.uk/government/organisations/biometrics-and-forensics-ethics-group,,0.31,,2021-12-23
PB317,Biotechnology and Biological Sciences Research Council,http://www.bbsrc.ac.uk/,,1.08,,2021-12-23
PB1269,Birmingham Organising Committee for the 2022 Commonwealth Games Ltd,https://www.birmingham2022.com/,,2.82,,2021-12-23
PB508,Board of Trustees of the Royal Botanic Gardens Kew,http://www.kew.org/about/our-work/people-and-departments/board-trustees%20,,0.51,,2021-12-23
OT564,Bona Vacantia,https://gov.uk/government/organisations/bona-vacantia,,0.43,,2021-12-23
OT535,Border Force,https://gov.uk/government/organisations/border-force,,0.45,,2021-12-23
PB337,Boundary Commission for England,https://boundarycommissionforengland.independent.gov.uk/,,1.43,,2021-12-23
OT428,Boundary Commission for Northern Ireland,http://www.boundarycommission.org.uk/,,0.24,,2021-12-23
OT431,Boundary Commission for Scotland,http://www.bcomm-scotland.independent.gov.uk/,,0.45,,2021-12-23
OT432,Boundary Commission for Wales,http://bcomm-wales.gov.uk/,,3.68,,2021-12-23
OT1148,British Business Bank,http://british-business-bank.co.uk/,,2.89,,2021-12-23
OT1051,British Cattle Movement Service,https://gov.uk/government/organisations/british-cattle-movement-service,,0.17,,2021-12-23
OT313,British Council,http://www.britishcouncil.org,,0.53,,2021-12-23
PB189,British Film Institute,http://www.bfi.org.uk,,2.65,,2021-12-23
PB124,British Hallmarking Council,https://gov.uk/government/organisations/british-hallmarking-council,,0.34,,2021-12-23
PB166,British Library,http://www.bl.uk/,,0.73,,2021-12-23
PB167,British Museum,http://www.britishmuseum.org,,1.53,,2021-12-23
PB524,British Pharmacopoeia Commission,https://www.pharmacopoeia.com/,,1.25,,2021-12-23
PB461,British Transport Police Authority,http://btpa.police.uk/,,1.16,,2021-12-23
OT216,Broads Authority,http://www.broads-authority.gov.uk/,,0.54,,2021-12-23
PB160,Building Regulations Advisory Committee,https://gov.uk/government/organisations/building-regulations-advisory-committee,,0.14,,2021-12-23
D2,Cabinet Office,https://gov.uk/government/organisations/cabinet-office,,2.44,,2021-12-23
OT1201,Cabinet Office Board,https://gov.uk/government/organisations/cabinet-office-board,,0.70,,2021-12-23
PB246,Cafcass,http://www.cafcass.gov.uk/,,0.58,,2021-12-23
PB251,Care Quality Commission,http://www.cqc.org.uk/,,0.48,,2021-12-23
OT1102,Careers Wales,http://www.careerswales.com/,,1.69,,2021-12-23
PB1194,Central Advisory Committee on Compensation,https://gov.uk/government/organisations/central-advisory-committee-on-compensation,,0.13,,2021-12-23
PB148,Central Arbitration Committee,https://gov.uk/government/organisations/central-arbitration-committee,,0.35,,2021-12-23
OT1329,Central Digital and Data Office,https://gov.uk/government/organisations/central-digital-and-data-office,,0.35,,2021-12-23
OT1223,Centre for Connected and Autonomous Vehicles ,https://gov.uk/government/organisations/centre-for-connected-and-autonomous-vehicles,,0.56,,2021-12-23
OT1280,Centre for Data Ethics and Innovation,https://gov.uk/government/organisations/centre-for-data-ethics-and-innovation,,0.37,,2021-12-23
EA53,"Centre for Environment, Fisheries and Aquaculture Science",https://gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science,,1.55,,2021-12-23
OT567,Centre for the Protection of National Infrastructure,http://www.cpni.gov.uk/,,2.76,,2021-12-23
PB139,Certification Officer,https://gov.uk/government/organisations/certification-officer,,0.15,,2021-12-23
PC386,Channel 4,http://www.channel4.com,,0.96,,2021-12-23
OT492,Chevening Scholarship Programme ,http://www.chevening.org/,,2.34,,2021-12-23
OT504,Chief Fire and Rescue Adviser,https://gov.uk/government/organisations/chief-fire-and-rescue-adviser-unit,,0.14,,2021-12-23
OT1277,Child Safeguarding Practice Review Panel,https://gov.uk/government/organisations/child-safeguarding-practice-review-panel,,0.15,,2021-12-23
OT1290,Churches Conservation Trust,https://www.visitchurches.org.uk/,,5.25,,2021-12-23
PC469,Civil Aviation Authority,http://www.caa.co.uk/,,0.63,,2021-12-23
PB293,Civil Justice Council,http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/cjc,,0.30,,2021-12-23
OT1063,Civil Nuclear Constabulary,https://gov.uk/government/organisations/civil-nuclear-constabulary,,0.74,,2021-12-23
PB194,Civil Nuclear Police Authority,https://gov.uk/government/organisations/civil-nuclear-police-authority,,0.80,,2021-12-23
PB440,Civil Procedure Rule Committee,https://gov.uk/government/organisations/civil-procedure-rules-committee,,0.14,,2021-12-23
OT1200,Civil Service Board,https://gov.uk/government/organisations/civil-service-board,,0.59,,2021-12-23
PB366,Civil Service Commission,http://civilservicecommission.independent.gov.uk/,,0.48,,2021-12-23
OT1121,Civil Service Fast Stream,https://gov.uk/government/organisations/civil-service-fast-stream,,0.52,,2021-12-23
OT1281,Civil Service Group,https://gov.uk/government/organisations/civil-service-group,,0.13,,2021-12-23
OT1304,Civil Service HR,https://gov.uk/government/organisations/civil-service-hr,,0.69,,2021-12-23
PB195,Coal Authority,https://gov.uk/government/organisations/the-coal-authority,,0.82,,2021-12-23
OT1235,College of Policing,http://www.college.police.uk/,,0.33,,2021-12-23
OT1249,Commission for Countering Extremism,https://gov.uk/government/organisations/commission-for-countering-extremism,,0.27,,2021-12-23
PB525,Commission on Human Medicines,https://gov.uk/government/organisations/commission-on-human-medicines,,0.14,,2021-12-23
OT517,Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk/,,0.36,,2021-12-23
OT1264,Commissioner for Shale Gas,https://gov.uk/government/organisations/shale-commissioner,,0.13,,2021-12-23
PB196,Committee on Climate Change,http://www.theccc.org.uk/,,0.80,,2021-12-23
PB1172,Committee on Fuel Poverty,https://gov.uk/government/organisations/committee-on-fuel-poverty,,0.15,,2021-12-23
PB526,"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",https://gov.uk/government/organisations/committee-on-mutagenicity-of-chemicals-in-food-consumer-products-and-the-environment,,0.14,,2021-12-23
PB191,Committee on Radioactive Waste Management,https://gov.uk/government/organisations/committee-on-radioactive-waste-management,,0.37,,2021-12-23
PB158,Committee on Standards in Public Life,https://gov.uk/government/organisations/the-committee-on-standards-in-public-life,,0.31,,2021-12-23
PB576,"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",http://www.food.gov.uk/cot,,0.25,,2021-12-23
PB226,Commonwealth Scholarship Commission in the UK,https://gov.uk/government/organisations/commonwealth-scholarship-commission-in-the-uk,,0.16,,2021-12-23
EA26,Companies House ,https://gov.uk/government/organisations/companies-house,,0.56,,2021-12-23
PB1062,Company Names Tribunal,https://gov.uk/government/organisations/company-names-tribunal,,0.45,,2021-12-23
PB140,Competition Appeal Tribunal,http://www.catribunal.org.uk/,,0.13,,2021-12-23
PB318,Competition Service,https://www.catribunal.org.uk/about/competition-service,,0.12,,2021-12-23
D550,Competition and Markets Authority,https://gov.uk/government/organisations/competition-and-markets-authority,,0.50,,2021-12-23
OT1282,"Conflict, Stability and Security Fund",https://gov.uk/government/organisations/conflict-stability-and-security-fund,,0.51,,2021-12-23
PB126,Construction Industry Training Board,http://www.citb.co.uk,,0.34,,2021-12-23
PB198,Consumer Council for Water,http://www.ccwater.org.uk/,,1.22,,2021-12-23
PB355,Copyright Tribunal,https://gov.uk/government/organisations/copyright-tribunal,,0.40,,2021-12-23
PB121,Council for Science and Technology,https://gov.uk/government/organisations/council-for-science-and-technology,,0.24,,2021-12-23
OT214,Covent Garden Market Authority,http://www.newcoventgardenmarket.com/,,2.23,,2021-12-23
IM320,Criminal Cases Review Commission,http://www.ccrc.gov.uk/,,1.63,,2021-12-23
PB297,Criminal Injuries Compensation Authority,https://gov.uk/government/organisations/criminal-injuries-compensation-authority,,0.27,,2021-12-23
PB516,Criminal Procedure Rule Committee,https://gov.uk/government/organisations/criminal-procedure-rule-committee,,0.14,,2021-12-23
PC1291,Crossrail International,https://www.crossrail-international.co.uk,,5.97,,2021-12-23
EA1015,Crown Commercial Service,https://gov.uk/government/organisations/crown-commercial-service,,0.49,,2021-12-23
D101,Crown Prosecution Service,http://www.cps.gov.uk/,,2.78,,2021-12-23
OT217,Dartmoor National Park Authority,https://www.dartmoor.gov.uk/,,6.55,,2021-12-23
OT405,Defence Academy of the United Kingdom,http://www.da.mod.uk,,0.49,,2021-12-23
EA1113,Defence Electronics and Components Agency,https://gov.uk/government/organisations/defence-electronics-and-components-agency,,0.70,,2021-12-23
OT495,Defence Equipment and Support,https://gov.uk/government/organisations/defence-equipment-and-support,,1.23,,2021-12-23
OT496,Defence Infrastructure Organisation,https://gov.uk/government/organisations/defence-infrastructure-organisation,,0.64,,2021-12-23
OT1250,Defence Nuclear Organisation,https://gov.uk/government/organisations/defence-nuclear-organisation,,0.74,,2021-12-23
PB396,Defence Nuclear Safety Committee,https://gov.uk/government/organisations/defence-nuclear-safety-committee,,0.13,,2021-12-23
OT1191,Defence Safety Authority,https://gov.uk/government/organisations/defence-safety-authority,,0.14,,2021-12-23
EA42,Defence Science and Technology Laboratory,https://gov.uk/government/organisations/defence-science-and-technology-laboratory,,1.52,,2021-12-23
OT411,Defence Sixth Form College,http://www.dsfc.ac.uk,,0.43,,2021-12-23
